,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
0,The Mitchells vs the Machines,2021,80.0,7.8,80.0,52906,
1,Zack Snyder's Justice League,2021,54.0,8.1,54.0,296269,
2,The Father,2020,88.0,8.3,88.0,65007,
3,Avengers: Endgame,2019,78.0,8.4,78.0,881584,858.37
4,The Shawshank Redemption,1994,80.0,9.3,80.0,2400880,28.34
5,Once Upon a Time... In Hollywood,2019,83.0,7.6,83.0,586300,142.5
6,Another Round,2020,80.0,7.8,80.0,80537,
7,Sound of Metal,2019,82.0,7.8,82.0,89802,
8,The Godfather,1972,100.0,9.2,100.0,1662478,134.97
9,Inception,2010,74.0,8.8,74.0,2119293,292.58
10,Interstellar,2014,74.0,8.6,74.0,1563984,188.02
11,Knives Out,2019,82.0,7.9,82.0,494452,165.36
12,Parasite,2019,96.0,8.6,96.0,614123,53.37
13,Stand by Me,1986,75.0,8.1,75.0,370275,52.29
14,Joker,2019,59.0,8.4,59.0,1005300,335.45
15,Guardians of the Galaxy,2014,76.0,8.0,76.0,1066548,333.18
16,The Gentlemen,2019,51.0,7.8,51.0,265410,
17,Titanic,1997,75.0,7.8,75.0,1070520,659.33
18,Soul,2020,83.0,8.1,83.0,246830,
19,The Dark Knight,2008,84.0,9.0,84.0,2361646,534.86
20,Harry Potter and the Sorcerer's Stone,2001,64.0,7.6,64.0,676652,317.58
21,The Wolf of Wall Street,2013,75.0,8.2,75.0,1227460,116.9
22,Pulp Fiction,1994,94.0,8.9,94.0,1866335,107.93
23,Back to the Future,1985,87.0,8.5,87.0,1084480,210.61
24,The Lord of the Rings: The Fellowship of the Ring,2001,92.0,8.8,92.0,1696461,315.54
25,Blade Runner 2049,2017,81.0,8.0,81.0,480304,92.05
26,Tombstone,1993,50.0,7.8,50.0,130737,56.51
27,Inglourious Basterds,2009,69.0,8.3,69.0,1300843,120.54
28,Thor: Ragnarok,2017,74.0,7.9,74.0,616182,315.06
29,Jaws,1975,87.0,8.0,87.0,551285,260.0
30,Goodfellas,1990,90.0,8.7,90.0,1044952,46.84
31,Watchmen,2009,56.0,7.6,56.0,516574,107.51
32,Baby Driver,2017,86.0,7.6,86.0,457953,107.83
33,Gladiator,2000,67.0,8.5,67.0,1369055,187.71
34,Avengers: Infinity War,2018,68.0,8.4,68.0,882075,678.82
35,The Matrix,1999,73.0,8.7,73.0,1714254,171.48
36,Alien,1979,89.0,8.4,89.0,804655,78.9
37,300,2006,52.0,7.6,52.0,745598,210.61
38,Ex Machina,2014,78.0,7.7,78.0,486800,25.44
39,The Goonies,1985,62.0,7.8,62.0,249488,61.5
40,Deadpool 2,2018,66.0,7.7,66.0,499370,324.59
41,To Kill a Mockingbird,1962,88.0,8.3,88.0,298035,
42,Whiplash,2014,88.0,8.5,88.0,741116,13.09
43,Saw,2004,46.0,7.6,46.0,387240,56.0
44,Fight Club,1999,66.0,8.8,66.0,1896318,37.03
45,1917,2019,78.0,8.3,78.0,463927,159.23
46,Green Book,2018,69.0,8.2,69.0,406642,85.08
47,The Departed,2006,85.0,8.5,85.0,1215362,132.38
48,The Silence of the Lambs,1991,85.0,8.6,85.0,1301327,130.74
49,Jojo Rabbit,2019,58.0,7.9,58.0,321636,0.35
50,Call Me by Your Name,2017,93.0,7.9,93.0,224574,18.1
51,Jurassic Park,1993,68.0,8.1,68.0,886723,402.45
52,Arrival,2016,81.0,7.9,81.0,614264,100.55
53,Deadpool,2016,65.0,8.0,65.0,924429,363.07
54,Forrest Gump,1994,82.0,8.8,82.0,1855891,330.25
55,Almost Famous,2000,90.0,7.9,90.0,258129,32.53
56,Schindler's List,1993,94.0,8.9,94.0,1238762,96.9
57,Scarface,1983,65.0,8.3,65.0,760249,45.6
58,Sicario,2015,82.0,7.6,82.0,382117,46.89
59,Léon: The Professional,1994,64.0,8.5,64.0,1058357,19.5
60,Mad Max: Fury Road,2015,90.0,8.1,90.0,904774,154.06
61,Aliens,1986,84.0,8.3,84.0,664057,85.16
62,Prisoners,2013,70.0,8.1,70.0,619110,61.0
63,Heat,1995,76.0,8.2,76.0,591419,67.44
64,Shutter Island,2010,63.0,8.2,63.0,1163040,128.01
65,No Country for Old Men,2007,91.0,8.1,91.0,878766,74.28
66,Django Unchained,2012,81.0,8.4,81.0,1392233,162.81
67,The Dark Knight Rises,2012,78.0,8.4,78.0,1548216,448.14
68,Se7en,1995,65.0,8.6,65.0,1480344,100.13
69,Avatar,2009,83.0,7.8,83.0,1137203,760.51
70,Gone Girl,2014,79.0,8.1,79.0,884642,167.77
71,Hamilton,2020,90.0,8.5,90.0,65270,
72,Dunkirk,2017,94.0,7.8,94.0,575552,188.37
73,Soorarai Pottru,2020,,9.1,,81318,
74,The Princess Bride,1987,77.0,8.1,77.0,399410,30.86
75,Tangled,2010,71.0,7.7,71.0,413929,200.82
76,Ghostbusters,1984,71.0,7.8,71.0,362478,238.63
77,The Prestige,2006,66.0,8.5,66.0,1218305,53.09
78,The Trial of the Chicago 7,2020,76.0,7.8,76.0,147220,
79,Guardians of the Galaxy Vol. 2,2017,67.0,7.6,67.0,589598,389.81
80,Star Wars: Episode IV - A New Hope,1977,90.0,8.6,90.0,1253025,322.74
81,Saving Private Ryan,1998,91.0,8.6,91.0,1265160,216.54
82,Brokeback Mountain,2005,87.0,7.7,87.0,330646,83.04
83,Mystic River,2003,84.0,7.9,84.0,426806,90.14
84,The Green Mile,1999,61.0,8.6,61.0,1176110,136.8
85,The Shining,1980,66.0,8.4,66.0,919471,44.02
86,American Psycho,2000,64.0,7.6,64.0,508563,15.07
87,The Lion King,1994,88.0,8.5,88.0,963270,422.78
88,Pirates of the Caribbean: The Curse of the Black Pearl,2003,63.0,8.0,63.0,1028195,305.41
89,Little Women,2019,91.0,7.8,91.0,155181,108.1
90,Dazed and Confused,1993,78.0,7.6,78.0,170195,7.99
91,The Lord of the Rings: The Return of the King,2003,94.0,8.9,94.0,1675669,377.85
92,Requiem for a Dream,2000,68.0,8.3,68.0,781297,3.64
93,Moana,2016,81.0,7.6,81.0,283713,248.76
94,Ford v Ferrari,2019,81.0,8.1,81.0,315719,117.62
95,Skyfall,2012,81.0,7.7,81.0,638700,304.36
96,Iron Man,2008,79.0,7.9,79.0,961062,318.41
97,Captain America: Civil War,2016,75.0,7.8,75.0,686860,408.08
98,Bohemian Rhapsody,2018,49.0,7.9,49.0,470946,216.43
99,The Avengers,2012,69.0,8.0,69.0,1283782,623.28
100,Get Out,2017,85.0,7.7,85.0,510401,176.04
101,The Big Lebowski,1998,71.0,8.1,71.0,746925,17.5
102,Star Trek,2009,82.0,7.9,82.0,582257,257.73
103,Blade Runner,1982,84.0,8.1,84.0,706530,32.87
104,Snatch,2000,55.0,8.3,55.0,795922,30.33
105,Memento,2000,80.0,8.4,80.0,1146926,25.54
106,There Will Be Blood,2007,93.0,8.2,93.0,530555,40.22
107,Indiana Jones and the Raiders of the Lost Ark,1981,85.0,8.4,85.0,898905,248.16
108,Mission: Impossible - Fallout,2018,86.0,7.7,86.0,300140,220.16
109,The Hobbit: An Unexpected Journey,2012,58.0,7.8,58.0,768594,303.0
110,Come and See,1985,,8.3,,63234,
111,Spider-Man: Into the Spider-Verse,2018,87.0,8.4,87.0,402602,190.24
112,The Irishman,2019,94.0,7.8,94.0,339600,7.0
113,Pride & Prejudice,2005,82.0,7.8,82.0,266525,38.41
114,The Hunt,2012,77.0,8.3,77.0,293428,0.69
115,Fargo,1996,85.0,8.1,85.0,630313,24.61
116,Eternal Sunshine of the Spotless Mind,2004,89.0,8.3,89.0,929166,34.4
117,American Beauty,1999,84.0,8.3,84.0,1086292,130.1
118,Terminator 2: Judgment Day,1991,75.0,8.5,75.0,1012704,204.84
119,Taxi Driver,1976,94.0,8.3,94.0,742665,28.26
120,Hot Fuzz,2007,81.0,7.8,81.0,472860,23.64
121,The Breakfast Club,1985,66.0,7.8,66.0,364212,45.88
122,Harry Potter and the Deathly Hallows: Part 2,2011,85.0,8.1,85.0,784096,381.01
123,Die Hard,1988,72.0,8.2,72.0,805680,83.01
124,Wind River,2017,73.0,7.7,73.0,214890,33.8
125,Edge of Tomorrow,2014,71.0,7.9,71.0,613333,100.21
126,Stardust,2007,66.0,7.6,66.0,258987,38.63
127,Apocalypse Now,1979,94.0,8.4,94.0,618218,83.47
128,Boogie Nights,1997,85.0,7.9,85.0,244016,26.4
129,Shrek,2001,84.0,7.9,84.0,626017,267.67
130,Kingsman: The Secret Service,2014,60.0,7.7,60.0,602443,128.26
131,The Notebook,2004,53.0,7.8,53.0,530977,81.0
132,The Sixth Sense,1999,64.0,8.1,64.0,925525,293.51
133,The Godfather: Part II,1974,90.0,9.0,90.0,1155413,57.3
134,The Grand Budapest Hotel,2014,88.0,8.1,88.0,728356,59.1
135,Hacksaw Ridge,2016,71.0,8.1,71.0,452333,67.21
136,"Three Billboards Outside Ebbing, Missouri",2017,88.0,8.1,88.0,451345,54.51
137,Good Will Hunting,1997,70.0,8.3,70.0,881530,138.43
138,12 Angry Men,1957,96.0,9.0,96.0,707846,4.36
139,Harry Potter and the Goblet of Fire,2005,81.0,7.7,81.0,561290,290.01
140,Rush,2013,74.0,8.1,74.0,443481,26.95
141,Spirited Away,2001,96.0,8.6,96.0,672701,10.06
142,Braveheart,1995,68.0,8.3,68.0,974204,75.6
143,The Big Short,2015,81.0,7.8,81.0,377162,70.26
144,Big Fish,2003,58.0,8.0,58.0,420664,66.26
145,The Hateful Eight,2015,68.0,7.8,68.0,533142,54.12
146,Predator,1987,45.0,7.8,45.0,378566,59.74
147,Casino Royale,2006,80.0,8.0,80.0,590733,167.45
148,A Clockwork Orange,1971,77.0,8.3,77.0,770906,6.21
149,Shaun of the Dead,2004,76.0,7.9,76.0,521301,13.54
150,The Usual Suspects,1995,77.0,8.5,77.0,1009267,23.34
151,Zombieland,2009,73.0,7.6,73.0,529671,75.59
152,The Invisible Guest,2016,,8.1,,153432,
153,Captain Fantastic,2016,72.0,7.9,72.0,198321,5.88
154,Zootopia,2016,78.0,8.0,78.0,445540,341.27
155,The Revenant,2015,76.0,8.0,76.0,723650,183.64
156,"O Brother, Where Art Thou?",2000,69.0,7.7,69.0,293294,45.51
157,The Sandlot,1993,55.0,7.8,55.0,81090,32.42
158,The Girl with the Dragon Tattoo,2011,71.0,7.8,71.0,431929,102.52
159,The Terminator,1984,84.0,8.0,84.0,808339,38.4
160,X-Men: Days of Future Past,2014,75.0,7.9,75.0,669858,233.92
161,One Flew Over the Cuckoo's Nest,1975,84.0,8.7,84.0,934958,112.0
162,The Truman Show,1998,90.0,8.1,90.0,964788,125.62
163,Into the Wild,2007,73.0,8.1,73.0,584702,18.35
164,La La Land,2016,94.0,8.0,94.0,521808,151.1
165,Catch Me If You Can,2002,75.0,8.1,75.0,858648,164.62
166,The Pianist,2002,85.0,8.5,85.0,750639,32.57
167,The Martian,2015,80.0,8.0,80.0,777753,228.43
168,Moneyball,2011,87.0,7.6,87.0,380711,75.61
169,Oldboy,2003,77.0,8.4,77.0,528146,0.71
170,The Social Network,2010,95.0,7.7,95.0,640302,96.96
171,The Fifth Element,1997,52.0,7.7,52.0,441442,63.54
172,Kill Bill: Vol. 1,2003,69.0,8.1,69.0,1020640,70.1
173,Batman Begins,2005,70.0,8.2,70.0,1334829,206.85
174,Reservoir Dogs,1992,79.0,8.3,79.0,937307,2.83
175,The Help,2011,62.0,8.0,62.0,434559,169.71
176,The Hangover,2009,73.0,7.7,73.0,728683,277.32
177,The Lord of the Rings: The Two Towers,2002,87.0,8.7,87.0,1515208,342.55
178,Donnie Darko,2001,88.0,8.0,88.0,751347,1.48
179,Ocean's Eleven,2001,74.0,7.7,74.0,526943,183.42
180,Drive,2011,78.0,7.8,78.0,583414,35.06
181,A Star Is Born,2018,88.0,7.6,88.0,346798,215.29
182,Coco,2017,81.0,8.4,81.0,408144,209.73
183,Logan,2017,77.0,8.1,77.0,667931,226.28
184,Black Hawk Down,2001,74.0,7.7,74.0,370060,108.64
185,Rogue One: A Star Wars Story,2016,65.0,7.8,65.0,568728,532.18
186,The Incredibles,2004,90.0,8.0,90.0,668397,261.44
187,The Handmaiden,2016,84.0,8.1,84.0,121231,2.01
188,About Time,2013,55.0,7.8,55.0,314023,15.32
189,Pan's Labyrinth,2006,98.0,8.2,98.0,628513,37.63
190,Wonder,2017,66.0,8.0,66.0,147738,132.42
191,Zodiac,2007,78.0,7.7,78.0,481519,33.08
192,Mulholland Dr.,2001,85.0,7.9,85.0,328975,7.22
193,Captain America: The Winter Soldier,2014,70.0,7.7,70.0,757095,259.77
194,Full Metal Jacket,1987,76.0,8.3,76.0,687405,46.36
195,"The Good, the Bad and the Ugly",1966,90.0,8.8,90.0,701653,6.1
196,The Exorcist,1973,81.0,8.0,81.0,367579,232.91
197,Casino,1995,73.0,8.2,73.0,477087,42.44
198,Once Upon a Time in America,1984,,8.4,,318866,5.32
199,Room,2015,86.0,8.1,86.0,382735,14.68
200,Nightcrawler,2014,76.0,7.8,76.0,481191,32.38
201,Black Swan,2010,79.0,8.0,79.0,711639,106.95
202,The Intouchables,2011,57.0,8.5,57.0,780014,13.18
203,Her,2013,90.0,8.0,90.0,554801,25.57
204,Kick-Ass,2010,66.0,7.6,66.0,531718,48.07
205,Dawn of the Dead,1978,71.0,7.9,71.0,113317,5.1
206,The Game,1997,61.0,7.8,61.0,356921,48.32
207,City of God,2002,79.0,8.6,79.0,710316,7.56
208,A Beautiful Mind,2001,72.0,8.2,72.0,866067,170.74
209,Rear Window,1954,100.0,8.5,100.0,453006,36.76
210,Hidden Figures,2016,74.0,7.8,74.0,207062,169.61
211,Memories of Murder,2003,82.0,8.1,82.0,148944,0.01
212,2001: A Space Odyssey,1968,84.0,8.3,84.0,615522,56.95
213,Harry Potter and the Prisoner of Azkaban,2004,82.0,7.9,82.0,565527,249.36
214,Changeling,2008,63.0,7.7,63.0,242669,35.74
215,American History X,1998,62.0,8.5,62.0,1050800,6.72
216,Star Wars: Episode V - The Empire Strikes Back,1980,82.0,8.7,82.0,1180987,290.48
217,First Blood,1982,61.0,7.7,61.0,232502,47.21
218,Psycho,1960,97.0,8.5,97.0,616726,32.0
219,True Romance,1993,59.0,7.9,59.0,210675,12.28
220,Argo,2012,86.0,7.7,86.0,582200,136.03
221,Ratatouille,2007,96.0,8.0,96.0,655285,206.45
222,Manchester by the Sea,2016,96.0,7.8,96.0,254781,47.7
223,X-Men: First Class,2011,65.0,7.7,65.0,654240,146.41
224,Marriage Story,2019,94.0,7.9,94.0,260512,2.0
225,Back to the Future Part II,1989,57.0,7.8,57.0,491109,118.5
226,The Perks of Being a Wallflower,2012,67.0,8.0,67.0,472029,17.74
227,Dances with Wolves,1990,72.0,8.0,72.0,245787,184.21
228,Ferris Bueller's Day Off,1986,61.0,7.8,61.0,327229,70.14
229,Your Name.,2016,79.0,8.4,79.0,210390,5.02
230,"Lock, Stock and Two Smoking Barrels",1998,66.0,8.2,66.0,544825,3.9
231,The Last of the Mohicans,1992,76.0,7.7,76.0,154673,75.51
232,The Imitation Game,2014,73.0,8.0,73.0,701546,91.13
233,Star Wars: Episode VII - The Force Awakens,2015,80.0,7.8,80.0,872667,936.66
234,American Gangster,2007,76.0,7.8,76.0,399401,130.16
235,The Curious Case of Benjamin Button,2008,70.0,7.8,70.0,601731,127.51
236,Inside Out,2015,94.0,8.1,94.0,634980,356.46
237,L.A. Confidential,1997,90.0,8.2,90.0,541490,64.62
238,Willy Wonka & the Chocolate Factory,1971,67.0,7.8,67.0,182125,4.0
239,Big Hero 6,2014,74.0,7.8,74.0,419598,222.53
240,The Last Samurai,2003,55.0,7.7,55.0,406632,111.11
241,Moonrise Kingdom,2012,84.0,7.8,84.0,325549,45.51
242,Sin City,2005,74.0,8.0,74.0,743239,74.1
243,Atonement,2007,85.0,7.8,85.0,257244,50.93
244,Midnight in Paris,2011,81.0,7.7,81.0,395020,56.82
245,Life Is Beautiful,1997,59.0,8.6,59.0,638007,57.6
246,Silver Linings Playbook,2012,81.0,7.7,81.0,671610,132.09
247,Dead Poets Society,1989,79.0,8.1,79.0,438190,95.86
248,Minority Report,2002,80.0,7.6,80.0,516349,132.07
249,500 Days of Summer,2009,76.0,7.7,76.0,479854,32.39
250,Spotlight,2015,93.0,8.1,93.0,431785,45.06
251,Hachi: A Dog's Tale,2009,,8.1,,260492,
252,Trainspotting,1996,83.0,8.1,83.0,644322,16.5
253,Serenity,2005,74.0,7.8,74.0,286066,25.51
254,Harry Potter and the Deathly Hallows: Part 1,2010,65.0,7.7,65.0,490987,295.98
255,The Bourne Identity,2002,68.0,7.9,68.0,516259,121.66
256,Portrait of a Lady on Fire,2019,95.0,8.1,95.0,71594,3.76
257,The Peanut Butter Falcon,2019,70.0,7.6,70.0,71953,13.12
258,Cast Away,2000,73.0,7.8,73.0,537772,233.63
259,Airplane!,1980,78.0,7.7,78.0,219334,83.4
260,Office Space,1999,68.0,7.7,68.0,246555,10.82
261,What's Eating Gilbert Grape,1993,73.0,7.7,73.0,219441,9.17
262,Stagecoach,1939,93.0,7.9,93.0,44850,
263,V for Vendetta,2005,62.0,8.1,62.0,1050116,70.51
264,A Few Good Men,1992,62.0,7.7,62.0,240634,141.34
265,Blue Is the Warmest Colour,2013,89.0,7.7,89.0,141515,2.2
266,Scent of a Woman,1992,59.0,8.0,59.0,271642,63.9
267,The Godfather: Part III,1990,60.0,7.6,60.0,368285,66.67
268,Amadeus,1984,88.0,8.3,88.0,375481,51.97
269,Training Day,2001,69.0,7.7,69.0,400681,76.63
270,The Sound of Music,1965,63.0,8.0,63.0,210968,163.21
271,"Monsters, Inc.",2001,79.0,8.1,79.0,831908,289.92
272,The Wizard of Oz,1939,92.0,8.0,92.0,374904,2.08
273,The Sting,1973,83.0,8.3,83.0,245836,159.6
274,The Blues Brothers,1980,60.0,7.9,60.0,186520,57.23
275,Star Wars: Episode VI - Return of the Jedi,1983,58.0,8.3,58.0,967794,309.13
276,12 Years a Slave,2013,96.0,8.1,96.0,653612,56.67
277,Boyhood,2014,100.0,7.9,100.0,339841,25.38
278,Finding Nemo,2003,90.0,8.1,90.0,966340,380.84
279,Harry Potter and the Half-Blood Prince,2009,78.0,7.6,78.0,487700,301.96
280,Toy Story,1995,95.0,8.3,95.0,906518,191.8
281,The Blind Side,2009,53.0,7.6,53.0,300200,255.96
282,E.T. the Extra-Terrestrial,1982,91.0,7.8,91.0,378945,435.11
283,The Last Picture Show,1971,93.0,8.0,93.0,43693,29.13
284,Capernaum,2018,75.0,8.4,75.0,69590,1.66
285,Home Alone,1990,63.0,7.6,63.0,497485,285.76
286,Unforgiven,1992,85.0,8.2,85.0,383066,101.16
287,Apocalypto,2006,68.0,7.8,68.0,295353,50.87
288,The Hobbit: The Desolation of Smaug,2013,66.0,7.8,66.0,611309,258.37
289,The Pursuit of Happyness,2006,64.0,8.0,64.0,460662,163.57
290,Birdman or (The Unexpected Virtue of Ignorance),2014,87.0,7.7,87.0,590939,42.34
291,Indiana Jones and the Last Crusade,1989,65.0,8.2,65.0,703380,197.17
292,Warrior,2011,71.0,8.1,71.0,443016,13.66
293,Inside Man,2006,76.0,7.6,76.0,347770,88.51
294,3 Idiots,2009,67.0,8.4,67.0,356637,6.53
295,The Thing,1982,57.0,8.1,57.0,379370,13.78
296,Casablanca,1942,100.0,8.5,100.0,531227,1.02
297,Incredibles 2,2018,80.0,7.6,80.0,259426,608.58
298,Children of Men,2006,84.0,7.9,84.0,471956,35.55
299,Incendies,2010,80.0,8.3,80.0,155880,6.86
300,Howl's Moving Castle,2004,80.0,8.2,80.0,346022,4.71
301,Rocky,1976,70.0,8.1,70.0,529265,117.24
302,Mulan,1998,71.0,7.6,71.0,262628,120.62
303,Coraline,2009,80.0,7.7,80.0,202372,75.29
304,12 Monkeys,1995,74.0,8.0,74.0,586790,57.14
305,Gone with the Wind,1939,97.0,8.1,97.0,294966,198.68
306,Inherit the Wind,1960,75.0,8.1,75.0,27966,
307,Sherlock Holmes,2009,57.0,7.6,57.0,592077,209.03
308,Downfall,2004,82.0,8.2,82.0,336569,5.51
309,Little Miss Sunshine,2006,80.0,7.8,80.0,447340,59.89
310,Once Upon a Time in the West,1968,80.0,8.5,80.0,308242,5.32
311,Hell or High Water,2016,88.0,7.6,88.0,209244,26.86
